,0
1,akciya_privedi_druga
2,akciya_probuj_bez_pereplat
3,ap_esli_ne_polxzueshxsya
4,ap_pomenyatx_datu
5,assistent_eva
6,avtoprodlenie
7,avtoprodlenie_zapret
8,bank_raund
9,blokirovka_dobrovolnaya
10,bns_kak_polxzovatxsya_uslugoj
11,bns_kogda_rasschitayut_limit
12,bns_pochemu_izmenili_limit
13,bns_statxya_v_rashodah
14,bud_na_svyazi_summa_dolga
15,check_info
16,check_poluchit
17,denx_rozhdeniya_abonenta
18,detalizaciya_bez_sms
19,detalizaciya_dlya_suda
20,detalizaciya_izmenitx_ili_udalitx
21,detalizaciya_ne_prihodit
22,detalizaciya_ne_shoditsya
23,detalizaciya_ne_zakazyval
24,detalizaciya_oshibka_pri_zakaze
25,detalizaciya_scheta_rashody
26,detalizaciya_skrytyh_nomerov
27,detalizaciya_summarno_za_mesyac
28,di_otklyuchitx
29,dogovor_data_zaklyucheniya
30,dogovor_na_kogo_oformlen
31,dolzhnik_ne_prozhivaet_po_adresu
32,dublikat_sim_karty
33,emocii
34,emotion
35,esim
36,holdon
37,ims_info
38,ims_upravlenie
39,informirovanie_ot_mchs
40,internet_bez_utochneniya
41,internet_na_torrent
42,internet_nastrojki
43,internet_raskhoduetsya_pri_bezlimitnom_pakete
44,internet_zakonchilsya
45,internet_zakonchilsya_pri_bezlimitnom_pakete
46,kak_izmenitx_dlitelxnostx_razgovora
47,kak_poluchitx_zapisx_razgovora
48,kak_sdelat_distantsionno
49,kak_vosstanovit_sms
50,klient_ekstrenno_ostalsya_bez_svyazi
51,klient_ne_hochet_vnositx_platezh
52,klient_otricaet_informaciyu
53,klient_predstavilsya_po_imeni
54,klient_prislal_ussd
55,klient_prosit_ne_perebivatx
56,klient_prosit_ochistitx_istoriyu_svoih_dejstvij
57,klient_ukazyvaet_na_nevernuyu_tematiku
58,kontentnyj_schet
59,kopilka_dnej_rouminga
60,korrektirovka_scheta
61,kredit_podklyuchitx
62,lichnyj_kabinet_oshibka
63,lichnyj_kabinet_parol
64,lichnyj_kabinet_problema_so_vhodom
65,lichnyj_kabinet_vhod
66,lk_nastrojka_avtorizacii
67,lk_parolx_ne_zaprashival
68,lk_problemy_pri_smene_parolya
69,megasily
70,messendzhery_i_socseti_ne_rabotayut
71,messendzhery_i_socseti_raskhoduyut_internet_paket
72,mnp_oplatit_dolg_dlya_perekhoda
73,mnp_otkaz_ot_perenosa_nomera
74,moj_limit_eshte_ne_ischerpan
75,multiakkaunt_ne_mogu_pereklyuchitsya
76,multiakkaunt_ne_mogu_poluchit_sms
77,multiakkaunt_ne_mogu_privyazat
78,multiakkaunt_spravka
79,na_etom_nomere
80,nastrojka_opoveshtenij_ot_megafon
81,ne_mogu
82,ne_rabotaet_modem
83,nedovolstvo_raskhodami_v_rouminge
84,net_pasporta
85,nevygodnoe_predlozhenie
86,no
87,obnovlenie_prilozhenij
88,obrashtusx_v_ofis
89,obrazec_doverennosti
90,obyedinenie_licevyh_schetov
91,ofisy_centralxnyj_adres
92,ofisy_kontaktnyj_nomer
93,ofisy_mezhfilialxnye_uslugi
94,ofisy_utochnenie_po_nalichiyu_uslug
95,operator_kontakty_drugih_kompanij
96,operator_ne_mogu_dozvonitxsya
97,oplata_raznyh_servisov
98,ostatok_skidok_kak_podarit
99,ostatok_skidok_kak_pomenyat
100,ostatok_skidok_ne_otobrazhaetsya
101,ostatok_sms
102,otkaz_ot_bannera_na_sayte
103,otkaz_ot_otpravlennyh_klientom_sms
104,otkaz_ot_rassylok
105,otkaz_ot_reklamy
106,otkaz_ot_sovershennyh_vyzovov
107,otkaz_ot_telemarketinga
108,otpravka_vlozheniya_v_chate
109,otvet_na_pozdravlenie
110,parolx_k_wifi
111,parolx_zapros_bez_utochneniya
112,pd_problemy_pri_izmenenii
113,pd_status_zayavki
114,pereofomlenie_dogovora_bez_vladelca
115,pereofomlenie_dogovora_posle_smerti_vladelca
116,pereoformlenie_dogovora_distancionno
117,pereoformlenie_dogovora_status
118,personalnoe_predlozhenie_ne_podklyuchilos
119,personalnoe_predlozhenie_ne_poyavilos
120,personalnoe_predlozhenie_propalo
121,personalnoe_predlozhenie_shchedryj_platezh
122,personalxnyj_schyot
123,pochemu_ne_rabotaet_ussd
124,podbor_zakachajsya
125,podpiska_apple_music
126,podpiska_megafon_plyus
127,podpiska_megafon_viktorina
128,podpiska_okko
129,podpiska_start
130,podpiski_podklyuchit
131,podpiski_problema
132,pokrytie_seti
133,pomoshtnik_kak_dela
134,pomoshtnik_rasskazhi_o_sebe
135,pre_5g
136,prishlo_sleduyushtee_soobshtenie
137,privyazka_pochty_klienta
138,problemy_s_sms_i_zvonkami_na_korotkie_nomera
139,rastorzhenie_dogovora_vladelec_umer
140,rouming_pogranzona
141,rouming_zaprety
142,sim_karta_ne_v_telefoneq
143,skidka_pochemu_otklyuchilas
144,skidka_s_avtoplatezhom
145,skidka_srok_dejstviya
146,skidku_prodlit
147,skolxko_eto_zajmet_vremeni
148,skorost_interneta
149,smena_regiona_pri_pereezde
150,smena_tarifa_bez_interneta
151,smena_tarifa_deshevle
152,smena_tarifa_detskij
153,smena_tarifa_otklyuchenie
154,smena_tarifa_pod_oborudovanie
155,smena_tarifa_problema
156,smena_tarifa_s_bezlimitom
157,smena_tarifa_s_vozvratom_ap
158,smena_tarifa_socialxnyj
159,smena_tarifa_tolxko_internet
160,sms_centr
161,sms_posle_zameny_sim
162,srok_dejstviya_sim_bez_ispolxzovaniya
163,ssylka_ne_rabotaet
164,tarif_data_smeny
165,tarif_kak_raskhoduetsya_sms
166,tarif_sms_na_bankovskie_nomera
167,tarif_zvonki_na_gorodskie
168,tochnoe_vremya
169,usluga_arenda_nomera
170,usluga_avtoplatezh
171,usluga_chernyi_spisok
172,usluga_dopolnitelnyj_nomer
173,usluga_gorodskoj_nomer
174,usluga_konferenc_svyazx
175,usluga_megadisk
176,usluga_megafon_zashchita
177,usluga_mobilnyj_platezh
178,usluga_op_avtoop_info 
179,usluga_op_avtoop_nedovolxstvo
180,usluga_op_avtoop_status
181,usluga_op_avtoop_zapret
182,usluga_pereadresaciya
183,usluga_roditelskij_kontrol
184,usluga_semxya
185,usluga_sohranenie_nomera
186,usluga_tvoi_procenty
187,usluga_uderzhanie_vyzova_ne_rabotaet
188,usluga_zapret_korotkih_nomerov
189,usluga_zapret_mobilnyj_platezhej
190,usluga_zapret_vyzova
191,usluga_znayu_kto_zvonit
192,uslugi_antiaon_i_superaon
193,uslugi_dlya_kontrolya_mestopolozheniya
194,uslugi_kopilka_ili_perenos_ostatka_ne_rabotayut
195,uslugi_s_otkazami_ot_reklamy_spiskom
196,utochnenie_po_sroku_oplaty_limita
197,utochnenie_stoimosti
198,uznatx_filial_nomera
199,vernite
200,vidzhet_ne_rabotaet
201,vip_status
202,vladelec_neizvesten_ili_net_svyazi
203,vopros_po_drugomu_nomeru
204,voprosy_po_domashnemu_internetu
205,voprosy_pro_ip_adres
206,voprosy_pro_mms
207,vosstanovlenie_nomera
208,vozrast_dlya_oformleniya_sim
209,yes
210,zamena_sim_karty_bez_vladelxca
211,zamena_sim_karty_distancionno
212,zamena_sim_karty_ne_rabotaet_nomer
213,zapret_na_dejstviya_s_sim_kartoj_po_doverennosti
214,zhaloby_na_abonentskoe_obsluzhivanie
